genus	leaf_type	leaf_cycle
Fagus	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Douglas	needleleaved	evergreen
Fagus	broadleaved	deciduous
Pinus	needleleaved	evergreen
Pinus	needleleaved	evergreen
Pinus	needleleaved	evergreen
Pinus	needleleaved	evergreen
Prunus	broadleaved	deciduous
Juglans	broadleaved	deciduous
Quercus	broadleaved	evergreen
Juglans	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Platanus	broadleaved	deciduous
Moraceae	broadleaved	deciduous
Platanus	broadleaved	deciduous
P.	needleleaved	evergreen
Castanea	broadleaved	deciduous
Platanus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Magnolia	broadleaved	evergreen
Liquidambar	broadleaved	deciduous
Castanea	broadleaved	deciduous
Quercus	broadleaved	deciduous
Ulmus	broadleaved	deciduous
Taxus	needleleaved	evergreen
Ginkgo	broadleaved	deciduous
Platanus	broadleaved	deciduous
Tilia	broadleaved	deciduous
Tilia	broadleaved	deciduous
Tilia	broadleaved	deciduous
Pinus	needleleaved	evergreen
Pinus	needleleaved	evergreen
Pinus	needleleaved	evergreen
Pinus	needleleaved	evergreen
Pinus	needleleaved	evergreen
Pinus	needleleaved	evergreen
Cedrus	needleleaved	evergreen
Magnolia	broadleaved	deciduous
Ginkgo	broadleaved	deciduous
Cedrus	needleleaved	evergreen
Cedrus	needleleaved	evergreen
Cedrus	needleleaved	evergreen
Quercus	broadleaved	evergreen
Europaea	broadleaved	evergreen
Platanus	broadleaved	deciduous
Larix	needleleaved	deciduous
Quercus	broaleaved	deciduous
Olea	broadleaved	evergreen
Morus	broadleaved	deciduous
Morus	broadleaved	deciduous
Morus	broadleaved	deciduous
Morus	broadleaved	deciduous
Morus	broadleaved	deciduous
Platano	broadleaved	deciduous
Trachycarpus	broadleaved	evergreen
Betula	broadleaved	deciduous
Morus	broadleaved	deciduous
Quercus	broadleaved	evergreen
Europaea	broadleaved	evergreen
Juglans	broadleaved	deciduous
Fraxinus	broadleaved	deciduous
Castanea	broadleaved	deciduous
Juglans	broadleaved	deciduous
Juglans	broadleaved	deciduous
Juglans	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Citrus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Quercus	broadleaved	evergreen
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Chamaecyparis	needleleaved	evergreen
Catalpa	broadleaved	deciduous
Chamaecyparis	needleleaved	evergreen
Chamaecyparis	needleleaved	evergreen
Platanus	broadleaved	deciduous
Chamaecyparis	needleleaved	evergreen
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Chamaecyparis	needleleaved	evergreen
Fagus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Platanus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Platanus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Betula	broadleaved	deciduous
Betula	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Platanus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Betula	broadleaved	deciduous
Betula	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Acer	broadleaved	deciduous
Salix	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Ulmus	broadleaved	deciduous
Betula	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Betula	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Betula	broadleaved	deciduous
Betula	broadleaved	deciduous
Betula	broadleaved	deciduous
Acer	broadleaved	deciduous
Acer	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Betula	broadleaved	deciduous
Betula	broadleaved	deciduous
Betula	broadleaved	deciduous
Betula	broadleaved	deciduous
Betula	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Catalpa	broadleaved	deciduous
Betula	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Platanus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Cedrus	needleleaved	evergreen
Magnolia	broadleaved	evergreen
Populus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Gleditsia	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Acer	broadleaved	deciduous
Taxus	needleleaved	evergreen
Taxus	needleleaved	evergreen
Platanus	broadleaved	deciduous
Malus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Catalpa	broadleaved	deciduous
Taxus	needleleaved	evergreen
Acer	broadleaved	deciduous
Malus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Acer	broadleaved	deciduous
Acer	broadleaved	deciduous
Cupressus	needleleaved	evergreen
Gleditsia	broadleaved	deciduous
Abies	needleleaved	evergreen
Cupressus	needleleaved	evergreen
Acer	broadleaved	deciduous
Platanus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Catalpa	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Catalpa	broadleaved	deciduous
Prunus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Gleditsia	broadleaved	deciduous
Prunus	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Acer	broadleaved	deciduous
Prunus	broadleaved	deciduous
Acer	broadleaved	deciduous
Cedrus	needleleaved	evergreen
Cupressocyparis	needleleaved	evergreen
Gleditsia	broadleaved	deciduous
Populus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Cupressocyparis	needleleaved	evergreen
Acer	broadleaved	deciduous
Gleditsia	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Acer	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Liriodendron	broadleaved	deciduous
Cupressocyparis	needleleaved	evergreen
Sequoiadendron	needleleaved	evergreen
Platanus	broadleaved	deciduous
Cupressocyparis	needleleaved	evergreen
Populus	broadleaved	deciduous
Gleditsia	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Cupressocyparis	needleleaved	evergreen
Populus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Populus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Gleditsia	broadleaved	deciduous
Populus	broadleaved	deciduous
Pinus	needleleaved	evergreen
Catalpa	broadleaved	deciduous
Liriodendron	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Magnolia	broadleaved	evergreen
Catalpa	broadleaved	deciduous
Platanus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Sequoiadendron	needleleaved	deciduous
Platanus	broadleaved	deciduous
Laburnum	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Cedrus	needleleaved	evergreen
Populus	broadleaved	deciduous
Populus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Laburnum	broadleaved	deciduous
Laburnum	broadleaved	deciduous
Populus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Magnolia	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Populus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Prunus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Prunus	broadleaved	deciduous
Cedrus	needleleaved	evergreen
Prunus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Magnolia	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Prunus	broadleaved	deciduous
Koelreuteria	broadleaved	deciduous
Platanus	broadleaved	deciduous
Prunus	broadleaved	deciduous
Prunus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Prunus	broadleaved	deciduous
Platanus	broadleaved	deciduous
Prunus	broadleaved	deciduous
Catalpa	broadleaved	deciduous
Populus	broadleaved	deciduous
Prunus	broadleaved	deciduous
Prunus	broadleaved	deciduous
Koelreuteria	broadleaved	deciduous
Platanus	broadleaved	deciduous
