Column,ref,PROVINCIA,COMUNE,LOCALITA’,lat,lon,ele,CONTESTO URBANO               si/no,nome_sci,genus,leaf_cycle,leaf_type,nome_vol,circumference,height,CRITERI DI MONUMENTALITA',historic,denotation,RIFERIMENTO LEGISLATIVO
2,01/E098/GO/06,Gorizia ,Gorizia ,Parco del Municipio,45.94096111111111,13.623202777777779,85,si,Platanus acerifolia (Aiton) Willd.,Platanus,,,Platano comune,4.5,30,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
3,02/E098/GO/06,Gorizia ,Gorizia ,Via Franconia,45.94689444444444,13.630366666666667,100,si,Insieme omogeneo di Castanea sativa Mill.,Insieme,,,Castagno,4.5,22,a) età e/o dimensioni                                                                                                      c) valore ecologico             ,,natural_monument,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
4,03/E098/GO/06,Gorizia ,Gorizia ,Borgo Castello,45.944513888888885,13.628080555555556,120,si,Platanus acerifolia (Aiton) Willd.,Platanus,,,Platano comune,4.55,30,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
5,04/E098/GO/06,Gorizia ,Gorizia ,Piazza San Rocco,45.93805277777778,13.626622222222222,80,si,Morus alba L.,Morus,,,Gelso bianco,2.8,8,a) età e/o dimensioni                                                                                                      ,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
6,05/E098/GO/06,Gorizia ,Gorizia ,Giardini Pubblici - Piazza Cesare Battisti,45.94535555555555,13.620575,85,si,Magnolia grandiflora L.,Magnolia,,,Magnolia,2.72,18,"a) età e/o dimensioni                                   b) forma e portamento                            g) valore storico, culturale e religioso  ",yes,natural_monument,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
7,06/E098/GO/06,Gorizia ,Gorizia ,"Via Attems, 89 ",45.940302777777774,13.593808333333333,60,si,Insieme omogeneo di Paulownia tomentosa (Thunb.) Steud.,Insieme,,,Paulonia,3.7,5,"a) età e/o dimensioni                                 c) valore ecologico                                    g) valore storico, culturale e religioso      ",yes,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
8,07/E098/GO/06,Gorizia ,Gorizia ,"Via Riva del Corno, 20",45.95030833333334,13.62633888888889,83,si,Morus alba L.,Morus,,,Gelso bianco,2.8,8,a) età e/o dimensioni                                                                                                      ,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
9,01/E124/GO/06,Gorizia ,Gradisca d'Isonzo,"Viale Trieste, 74",45.885105555555555,13.493991666666666,30,si,Magnolia grandiflora L.,Magnolia,,,Magnolia,3.65,16,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
12,01/H531/GO/06,Gorizia ,Ronchi dei Legionari,"Tenuta di Blasig - Via Roma, 63",45.825252777777784,13.500419444444445,11,si,Populus nigra L.,Populus,,,Pioppo nero,4.1,25,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
13,02/I479/GO706,Gorizia ,Savogna d'Isonzo,"Gabria - Piazza Indipendenza, 4",45.88692777777778,13.581819444444443,30,si,Wisteria sinensis (Sims) Sweet,Wisteria,,,Glicine,1.2,14,b) forma e portamento,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
14,01/I939/GO/06,Gorizia ,Staranzano,Piazza Dante Alighieri,45.80524722222222,13.500197222222223,6,si,Celtis australis L.,Celtis,,,Bagolaro,4.36,16,"a) età e/o dimensioni                                f) pregio paesaggistico                                  g) valore storico, culturale, religioso",yes,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
15,01/A516/PN/06,Pordenone,Aviano,Bacino Pian delle More,46.12952777777778,12.528180555555556,1193,no,Fagus sylvatica L.,Fagus,,,Faggio,4.7,18,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
16,02/A516/PN/06,Pordenone,Aviano,Colle San Giorgio,46.07671944444445,12.569986111111112,300,no,Acer campestre L.,Acer,,,Acero campestre,6.7,12,a) età e/o dimensioni                                   b) forma e portamento,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
18,01/B598/PN/06,Pordenone,Caneva,"Stevenà - Via Dario Chiaradia, 17",45.967216666666666,12.4309,66,no,Celtis australis L.,Celtis,,,Bagolaro,4.5,28,a) età e/o dimensioni                               ,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
20,03/B598/PN/06,Pordenone,Caneva ,Malga Tambon - Posta Mutton,46.001577777777776,12.430958333333333,760,no,Castanea sativa Mill.,Castanea,,,Castagno,4.3,12,a) età e/o dimensioni                               c) valore ecologico,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
25,05/C790/PN/06,Pordenone,Claut,Pian de MIo,46.33430833333333,12.622616666666667,1290,no,Fagus sylvatica L.,Fagus,,,Faggio,4.05,29,a) età e/o dimensioni                               c) valore ecologico,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
27,01/E889/PN/06,Pordenone,Maniago,Ruderi Castello - Strada Valpiccola,46.172916666666666,12.700991666666665,341,no,Fagus sylvatica L.,Fagus,,,Faggio,4.45,35,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
29,01/G886/PN/06,Pordenone,Porcia,Via del Tulipifero,45.959250000000004,12.615808333333334,30,si,Liriodendron tulipifera L.,Liriodendron,,,Albero dei tulipani,4.55,32,a) età e/o dimensioni                                  f) pregio paesaggistico,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
30,02/G886/PN/06,Pordenone,Porcia,"Via Guglielmo Marconi, 2",45.95708611111112,12.617894444444445,25,si,Celtis australis L.,Celtis,,,Bagolaro,4.5,22,a) età e/o dimensioni                                  b) forma e portamento,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
31,03/G886/PN/06,Pordenone,Porcia,"Parco Correr Dolfin - Via Correr, 69",45.958394444444444,12.616297222222222,25,si,Magnolia grandiflora L.,Magnolia,,,Magnolia,2.45,15,a) età e/o dimensioni                                  b) forma e portamento,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
33,01/D383/TS/06,Trieste,Duino - Aurisina,Sentiero Rilke,45.770938888888885,13.624411111111112,60,si,Pistacia terebinthus L.,Pistacia,,,Terebinto,0.92,7,a) età e/o dimensioni                                c) valore ecologico                                       d) rarità botanica,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
35,01/F795/TS/06,Trieste,Muggia,Stadio comunale,45.594794444444446,13.766977777777779,50,si,Salix alba L.,Salix,,,Salice bianco,4.1,17,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
36,01/L424/TS/06,Trieste,Trieste ,Villa Miramare,45.704994444444445,13.713161111111111,10,si,Arbutus unedo L.,Arbutus,,,Corbezzolo,2.04,12,a) età e/o dimensioni                                b) forma e portamento                                   d) rarità botanica,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
42,07/L424/TS/06,Trieste,Trieste ,Giardini  Muzio de Tommasini,45.653925,13.784094444444444,15,si,Platanus acerifolia (Aiton) Willd.,Platanus,,,Platano comune,5.2,28,a) età e/o dimensioni                                    b) forma e portamento,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
43,08/L424/TS/06,Trieste,Trieste ,Giardini  Muzio de Tommasini,45.65405,13.784372222222222,15,si,Platanus acerifolia (Aiton) Willd.,Platanus,,,Platano comune,5.25,31,a) età e/o dimensioni                               b) forma e portamento                             c) valore ecologico,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
47,12/L424/TS/06,Trieste,Trieste ,Villa Sartorio - Via dei Modiano,45.63704722222222,13.80185,105,si,Zelkova carpinifolia (Pall.) K. Koch,Zelkova,,,Olmo del Caucaso,3.43,20,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
48,13/L424/TS/06,Trieste,Trieste,San Dorligo - Val Rosandra,45.61075,13.872322222222223,440,no,Insieme omogeneo di Quercus cerris L.,Insieme,,,Cerro,3.6,20,a) età e/o dimensioni,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
50,15/L424/TS/06,Trieste,Trieste,"Opicina - Via della Vena, 5",45.687266666666666,13.786727777777777,325,si,Sthyphnolobium japonicum  L.,Sthyphnolobium,,,Sofora del Giappone,3.03,15,a) età e/o dimensioni                                   d) rarità botanica,,,Allegato A - Sezione 1                       Decreto Ministeriale                               N. 5450 del 19/12/2017 
